Question,Answer
La forza di inerzia agisce su un veicolo ogni volta che intervengano variazioni al suo movimento,V
"A parità di forza frenante, lo spazio di frenatura è maggiore con l'aumentare dell'inerzia del veicolo",V
"A parità di forza frenante, lo spazio di frenatura è maggiore con l'aumentare della massa del veicolo",V
La forza di inerzia è minore per un veicolo più leggero,V
La forza di inerzia aumenta con la massa del veicolo,V
La forza di inerzia si oppone alla variazione di velocità del veicolo,V
La forza di inerzia si oppone al rallentamento del veicolo,V
La forza di inerzia non varia al variare della velocità,F
La forza di inerzia non dipende dalla massa del veicolo ma solo dalla velocità,F
La forza di inerzia agevola la frenatura,F
La forza di inerzia permette una migliore tenuta di strada del veicolo in curva,F
La forza di inerzia è uguale per i veicoli che marciano alla stessa velocità,F
La forza di inerzia varia con il mutare del coefficiente dell'aderenza del fondo stradale,F
La forza motrice è la forza propulsiva generata dal motore,V
La forza motrice viene in parte assorbita dai componenti meccanici dei veicoli,V
La forza motrice in parte viene trasmessa a terra,V
La forza motrice è la forza propulsiva generata dal motore endotermico-elettrico,V
"La forza motrice, grazie agli organi di trasmissione, consente il moto del veicolo",V
La forza motrice è la forza centrifuga generata dal motore,F
La forza motrice è la forza di gravità,F
"La forza motrice, grazie agli organi di direzione mantiene il veicolo in moto",F
La forza motrice è la forza sterzante generata dal motore endotermico o elettrico,F
La forza motrice viene assorbita completamente dal motore,F
La forza peso è proporzionale alla sua massa,V
La forza peso si spiega tenendo presente che ogni corpo posto sulla superficie terrestre è attratto dalla terra,V
La forza peso è uguale al prodotto della sua massa per l'accelerazione di gravità,V
La forza peso non dipende dall'inclinazione della massa,V
La forza peso di un veicolo cambia se il veicolo è carico o scarico,V
La forza peso dipende dall'inclinazione della strada,F
La forza peso è inversamente proporzionale alla massa del veicolo,F
La forza peso è uguale alla somma della sua massa più l'accelerazione di gravità,F
La forza peso è proporzionale al numero di assi del veicolo,F
La forza peso di un veicolo dipende dalla natura del carico trasportato,F
La forza centripeta interviene quando un veicolo percorre una curva,V
La forza centripeta è connessa all'aderenza degli pneumatici,V
La forza centripeta è la forza che permette ad un corpo di percorrere una traiettoria circolare,V
La forza centripeta interviene quando il veicolo percorre una curva,V
La forza centripeta è connessa all'aderenza degli pneumatici al suolo stradale,V
La forza centripeta è proporzionale alla velocità e alla massa dell'oggetto,V
La forza centripeta interviene durante la salita del veicolo,F
La forza centripeta è generata dagli organi di trasmissione,F
La forza centripeta è generata dalla centralina elettrica,F
La forza centripeta è inversamente proporzionale alla massa dell'oggetto,F
La forza centripeta interviene durante la discesa del veicolo,F
La forza centrifuga agisce su un corpo quando percorre una curva,V
La forza centrifuga deve essere bilanciata dalla forza centripeta,V
La forza centripeta opponendosi alla forza centrifuga consente di percorrere una traiettoria curvilinea,V
La forza centrifuga può fare sbandare un veicolo,V
La forza centrifuga può far ribaltare un veicolo,V
La forza centrifuga si modifica variando la traiettoria,V
La forza centrifuga si modifica variando la velocità,V
La forza centrifuga tende a proiettare un corpo verso l'esterno della curva,V
La forza centrifuga è maggiore quanto maggiore sono la velocità e la massa dei veicoli,V
La forza centrifuga è inversamente proporzionale al raggio della curva,V
La forza centrifuga è direttamente proporzionale al raggio della curva,F
La forza centrifuga non dipende dal raggio della curva,F
La forza centrifuga è maggiore in rettilineo che non in curva,F
La forza centrifuga è massima in salita,F
La forza centrifuga agisce su un veicolo quando percorre una salita,F
La forza centrifuga può essere bilanciata dalla forza frenante,F
La forza centrifuga tende a portare il veicolo verso l'interno della curva,F
Il rischio di ribaltamento del veicolo in curva aumenta quando la curva stessa è più stretta,V
Il rischio di ribaltamento del veicolo in curva aumenta quando il baricentro è più alto,V
Il rischio di ribaltamento del veicolo in curva aumenta quando aumenta la forza centrifuga,V
Il rischio di ribaltamento del veicolo in curva aumenta quando aumenta la velocità,V
La mancata revisione periodica del veicolo provoca il suo ribaltamento in curva,F
Il rischio di ribaltamento del veicolo in curva aumenta quando aumenta la carreggiata del veicolo,F
Il rischio di ribaltamento del veicolo in curva aumenta quando aumenta la forza peso,F
L'angolo di deriva è l'angolo che si crea tra la traiettoria ideale e quella reale,V
"La deriva è lo scostamento della traiettoria compiuta dal veicolo, rispetto a quella impostata del conducente",V
L'angolo di deriva è causato da forze trasversali,V
L'angolo di deriva è legato alla flessibilità dello pneumatico,V
La deriva dipende dalla forza laterale che agisce sulle ruote,V
La deriva dipende dalla pressione degli pneumatici,V
La deriva dipende dal carico del veicolo,V
La deriva dipende dall'angolo di campanatura delle ruote,V
La deriva dipende dalla convergenza,V
La deriva è l'angolo che si crea tra due assi del veicolo,F
L'angolo di deriva è causato dalle forze motrici,F
L'angolo di deriva non dipende dall'efficienza delle sospensioni,F
L'angolo di deriva è indipendente dalla pressione di gonfiaggio degli pneumatici,F
L'angolo di deriva è maggiore nei veicoli dotati di servosterzo,F
La deriva viene misurata in occasione della revisione periodica del veicolo,F
La corretta manutenzione del veicolo impedisce il verificarsi della deriva,F
In regime di sottosterzo il veicolo tende ad allargare la curva,V
"In regime di sottosterzo, il veicolo curva meno di quanto di quanto voluto dal conducente",V
Il sottosterzo aumenta in caso di scarsa aderenza,V
Il sottosterzo è causato dalla maggior deriva delle ruote anteriori rispetto alle ruote posteriori,V
Le sospensioni scariche aumentano il comportamento sottosterzante del veicolo,V
Un veicolo si dice sottosterzante quando l'angolo di deriva dell'asse anteriore è superiore a quello dell'asse posteriore,V
L'aumento del carico sull'asse posteriore del veicolo aumenta il sottosterzo,F
Il sottosterzo aumenta nelle curve in salita,F
Il sottosterzo aumenta la stabilità del veicolo in curva,F
Il sottosterzo compensa l'effetto della deriva,F
Il comportamento sottosterzante del veicolo non è influenzato dalla pressione di gonfiaggio degli pneumatici,F
La tecnica correttiva al sottosterzo consiste nell'intervenire sullo sterzo e sull'acceleratore per ridare la corretta direzionalità al veicolo,V
La tecnica correttiva al sottosterzo deve essere applicata quando il veicolo tende a curvare meno di quanto voluto dal conducente,V
La tecnica correttiva al sottosterzo deve esser applicata quando il veicolo tende a curvare più di quanto richiesto dal conducente,F
La tecnica correttiva al sottosterzo comporta un momentaneo intervento sul volante verso l'interno della curva,V
La tecnica correttiva al sottosterzo consiste nel frenare a fondo,F
In regime di sovrasterzo il veicolo curva più di quanto voluto dal conducente,V
In regime di sovrasterzo il veicolo tende a girare su se stesso facendo perno sulle ruote anteriori,V
In regime di sovrasterzo il veicolo tende a chiudere la traiettoria in curva per l'effetto della deriva delle ruote posteriori,V
In regime di sovrasterzo il veicolo tende a fare perno sulle ruote anteriori e ad andare in testacoda,V
Un veicolo si dice sovrasterzante quando l'angolo di deriva dell'asse posteriore è maggiore di quello dell'asse anteriore,V
"Un veicolo si dice in sovrasterzo quando per motivi di carico o di potenza di motore le ruote posteriori non producono sufficiente
aderenza",V
In regime di sovrasterzo il veicolo curva meno di quanto voluto dal conducente,F
In regime di sovrasterzo il veicolo tende a proseguire per la tangente allargando la curva,F
In regime di sovrasterzo il veicolo tende a chiudere la traiettoria della curva per effetto della deriva delle ruote anteriori,F
In regime di sovrasterzo il veicolo non è in grado di girare a sufficienza,F
La tecnica correttiva al sovrasterzo consiste nell'applicare correttamente il controsterzo,V
La tecnica correttiva al sovrasterzo prevede di sterzare in senso opposto a quello della curva,V
La tecnica correttiva al sovrasterzo comporta una momentanea sterzata verso l'esterno della curva,V
"La tecnica correttiva al sovrasterzo applicata ad un veicolo a trazione posteriore comporta che si dovrà rilasciare l'acceleratore per
agevolare la ripresa di direzionalità del veicolo",V
L'efficienza delle sospensioni influisce sul comportamento in curva del veicolo,V
La tecnica correttiva al sovrasterzo comporta di accelerare senza agire sul volante,F
In caso di comportamento sovrasterzante del veicolo bisogna frenare a fondo,F
La maggior deriva delle ruote posteriori diminuisce il comportamento sovrasterzante del veicolo,F
La tecnica correttiva al sovrasterzo comporta un momentaneo e rapido intervento del volante verso l'interno della curva,F
Il beccheggio è un movimento destabilizzante che può comportare un pericoloso spostamento del carico,V
Il beccheggio del veicolo è un movimento destabilizzante che può comportare un significativo disagio per i passeggeri,V
Il beccheggio è un moto oscillatorio attorno all'asse trasversale baricentrico del veicolo,V
Il beccheggio può dipendere dalla flessibilità e morbidezza delle sospensioni,V
Il beccheggio non ha influenza sulla marcia del veicolo,F
"Il beccheggio del veicolo è un movimento fastidioso per i passeggeri ma non pericoloso in quanto non comporta la riduzione di aderenza
degli pneumatici",F
